Country	HumanSeat	IncomingSal	InfIndex	PopSize	IndexQuality
AFGHANISTAN	36.513	586	-0.851	35530000	3.438158194
ALBANIA	53.4	4042	-0.555	2877000	2.155687583
ANTIGUA AND BARBUDA	29.782	12479.5493824405	-0.626	102012	4.389309968 
ALGERIA	66.513	4373.41719075018	-0.278	41320000	4.983065954
ARGENTINA	92.666	5523	-0.765	44270000	3.100802621
ARMENIA	64.114	3270.098791324	-0.449	2973000	2.921100726
AUSTRALIA	89.353	67039.0822334271	1.457	24600000	5.427142135
AUSTRIA	67.863	49686.1031230097	1.715	8822000	6.270099165
AZERBAIJAN	53.856	6813.18440176045	-0.84	9898000	3.75922292
BELGIUM	97.517	47807.2694848919	1.441	11400000	5.935455316
BOLIVIA	67.241	2373.95065643487	-1.347	11050000	2.061869186
BOSNIA-HERZEGOVINA	48.787	4807.054513624	0.029	3507000	2.199579453
BULGARIA	73.7	7186.82895919181	0.223	7050000	2.733277863
CANADA	80.757	50564.5127396866	2.012	37000000	5.96923321
CHILE	89.382	14394.8402708498	-0.002	18050000	5.014367399
CHINA	51.887	5439.47266833663	0.943	1386000000	3.59348299
COLOMBIA	75.575	7100.04737895728	-0.681	49070000	2.827839246
COSTA RICA	65.124	8675.82966208256	-0.505	4906000	2.403445633
CROATIA	58.076	14217.359945168	0.652	4076000	4.099194139
CUBA	75.13	6106.0022961686	-0.454	11480000	4.389309968
CYPRUS	70.69	30523.3901137709	0.707	1170000	5.183056356
DJIBOUTI	77.134	1417.30585072563	-0.7785	956985	2.500971673
DOMINICAN REPUBLIC	70.271	5512.36185850667	-0.454	10700000	3.389309968
ECUADOR	68.036	4526.18963681781	-0.637	16620000	2.754069856
EL SALVADOR	65.273	3701.98750973707	-0.893	6378000	4.557741096
ETHIOPIA	17.247	356.967287240046	-0.617	105000000	2.33234437
FIJI	52.627	4390.51459330707	-0.385	905502	5
FRANCE	86.371	42641.8748814482	1.695	66990000	6.481628669
GEORGIA	52.928	3318.66027354594	-0.839	3717000	2.939941966
GERMANY	74.051	43865.0257135403	2.519	82790000	6.622531856
GHANA	52.554	1570.13317932545	-1.069	28830000	3.423379
GREECE	61.67	26251.1435919478	0.547	10740000	4.440827692
GUADELOUPE	98.419	7321.75840413742	-0.626	395700	4.3
GUATEMALA	50.223	3177.96614215687	-0.466	16910000	3.612335575
GUINEA	35.905	543.77167908772	-0.811	12720000	2.127477
HONDURAS	52.739	2249.82666261599	-0.417	9265000	3.401235006
HUNGARY	69.941	13918.5497615338	-0.254	9773000	4.199830051
ICELAND	93.843	43240.3014425329	1.102	364260	6.002820377
INDIA	31.631	1528.48972670217	0.579	1339000000	3.108295626
INDONESIA	51.486	3494.6112155307	-0.738	264000000	2.600669113
IRAN	69.204	6976.53264157156	-0.243	81160000	3.974865
IRAQ	66.417	3757.84770243724	-1.086	38270000	1.974865
ITALY	68.548	36124.1102431964	1.168	60480000	3.48096934
JAMAICA	52.096	5359.68291382888	-0.693	2890000	3.757287095
JAPAN	91.924	46406.9965847085	1.861	126800000	5.929268293
KAZAKHSTAN	53.461	11503.0496439264	-0.44	18400000	3.430562818
KYRGYZSTAN	35.41	1097.54717749471	-0.419	6202000	2.480033448
MACEDONIA	59.383	4925.33877786775	-0.555	2077000	2.875933347
MALAYSIA	73.479	9977.22792720617	0.485	31620000	5.692995432
MARTINIQUE	88.99	7321.75840413742	-0.626	376480	3.389309968 
MEXICO	78.403	10063.3497805462	-0.515	129200000	3.446088016
MICRONESIA	22.674	2854.99187749906	-0.567	105544	2.641749763
MONGOLIA	69.47	3059.55302134641	-0.414	3076000	1.926114907
MONTENEGRO	63.46	7196.24915923785	-0.555	631219	2.666666667
MOROCCO	57.392	3106.52804939043	-0.152	35740000	3.532522611
MYANMAR (BURMA)	33.207	1144.47523228953	-1.049	53370000	2.087709
NEPAL	17.311	606.86915840513	-1.16	29300000	1.91843909
NETHERLANDS	83.588	50215.1650114371	1.39	17180000	5.849656226
NEW CALEDONIA	61.534	38690.1387885169	-0.385	280460	3.5 
NEW ZEALAND	86.274	36874.4443213324	1.249	4794000	4.551031973
KERMADEC ISLANDS (NEW ZEALAND)	0	0	0.0	0	0
NICARAGUA	57.837	1243.21182515034	-0.976	6218000	2.447301285
PAKISTAN	36.513	1181.70173288593	-0.851	197000000	3.438158194
PANAMA	75.887	8590.08984412737	0.321	4099000	4.243656212
PAPUA NEW GUINEA	12.513	1794.47949975038	-0.98	8251000	3.5 
PERU	77.603	6138.25835524936	-1.009	32170000	2.500971673
PHILIPPINES	49.055	2369.51808333061	-0.567	104900000	2.641749763
PORTUGAL	61.608	22225.8049865926	0.767	10290000	5.240901598
AZORES (PORTUGAL)	56.0	17398	0.767	245766	5.240901598
SOUTH KOREA	83.497	23067.088617868	1.685	51470000	5.588574939
RUSSIA	73.987	13006.3546701729	0.325	144500000	3.016471407
RWANDA	19.394	582.766293564156	-0.721	12210000	4.313985
SAMOA	19.639	3629.33488715291	-0.567	196440	3.5
SERBIA	56.709	5578.60662012304	0.023	7022000	2.465116279
SLOVENIA	49.828	24709.2592866957	0.794	2067000	4.5704645
SOLOMON SEA	0	0	0.0	0	0
SOLOMON ISLANDS	20.916	1517.64836316774	1.85	652857	5.542160311
SOUTH AFRICA	62.438	8090.30777497006	0.029	56720000	4.482221376
TAIWAN	 51.887	5439.47266833663	0.943	23780000	3.59348299
TAJIKISTAN	26.549	934.903306701467	-0.606	8921000	2.864560811
THAILAND	34.44	5318.12838488624	-0.033	69040000	5.092584541
TONGA	23.529	4335.45873546312	-0.385	108020	3.5
TURKEY	72.475	10524.0042053009	-0.068	80810000	3.732335477
TURKMENISTAN	49.037	5042.30350464378	-0.49	5758000	3.5
UKRAINE	69.067	3656.65748601223	0.485	42220000	3.146810145
UK	79.747	38918.3609473775	1.85	66440000	5.542160311
UK TERRITORY	79.747	38918.3609473775	1.85	250000	5.542160311
USA	82.649	47882.465798946	2.399	327200000	6.064310821
USA TERRITORY	82.649	47882.465798946	2.399	3784409	6.064310821
